type,Featureid,Longitude,Latitude,FeatureName
Point,1601,50.3101242,30.3058519,Cвято-Михайлівський храм&#044; міста Боярка
Point,29219,51.3659269,27.8287045,ІРОВ ЯРОВА ЮРОВЕ — З МИРОМ ПРИЙМАЄМО
Point,2936,49.1433333,38.2430556,Архангело-Михайловский храм
Point,31749,50.4172962,30.456419,Богоявленский храм УПЦ МП
Point,17104,50.3664681,30.4581544,Введенський Обиденний храм (на Теремках-)
Point,3000136,49.6613322,32.3306827,Вмц. Варвари
Point,3000133,49.7568941,32.4575628,Вмч. Георгія Победоносця
Point,28203,50.7698512,35.0276518,Вознесенська громада
Point,15979,50.4327135,30.55703,Воскресенський академічний храм на Печерську (“Афганська” церква) у м.Києві
Point,31376,48.9170925,38.4305137,Второй Свято-Митрофановский храм&#044; город Лисичанск
Point,28807,50.704294,31.149235,Георгіївський храм с. Заворичі
Point,477,48.6070708,34.5647033,Днепродзержинская епархия
Point,3000132,49.8035405,32.4182754,Жон-Мироносиць
Point,27064,50.012553,36.2250719,Иконы Божией Матери &quot;Взыскание Погибших&quot;
Point,4804,48.1345632,37.7939135,Источник Святителя Николая Чудотворца
Point,19580,47.435737,35.364301,Казанский Храм
Point,11976,50.4706156,30.5167929,Києво-Подільська Введенська церква
Point,12487,48.1075071,29.1263766,Кресто-Воздвижеский храм г.Кодыма
Point,33290,48.5786106,39.2937277,Луганская епархия
Point,28948,50.2979397,32.3082129,Община
Point,773,45.4493907,35.8302909,община иконы Божией Матери Скоропослушница
Point,3000135,49.7391947,32.3508739,Олексія &#044; Чоловіка Божого
Point,31095,44.6764611,34.3964073,официальный сайт православного Храма Святых Царственных Страстотерпцев в г. Алушта&#044; Крым
Point,4335,50.0566348,31.4381633,Парафія на честь вмч. Георгія Побідоносця м. Переяслав-Хмельницький
Point,28827,47.7767865,35.1766266,Парафія праведного Петра Калнишевського
Point,5736,51.5342122,31.4601901,парафія св.Івана Богослова
Point,26199,51.5031048,31.2707698,Парафия в честь Владимирской иконы Пресвятой Богородицы
Point,3000114,46.6627301,32.5951615,Парафия святого князя Владимира г. Херсона
Point,2149,51.8622218,33.4988906,Петро-Павловский храм
Point,1887,46.759751,36.8157422,Покрова Пресвятой Богородицы
Point,24934,49.3955928,31.242486,Покровская церковь&#044; г.Корсунь-Шевченковский
Point,6255,50.5121726,30.5123872,Покровский собор (на Оболони)
Point,6039,50.9920735,29.7785732,Покровська церква села Обуховичі
